,CPM_mean,RPM_mean,Answered_count,Cost_sum,Revenue_sum,Count
43,0.05933,0.079706,1,0.76,1.02,1
44,0.05933,0.079706,1,1.65,2.21,1
45,0.05933,0.0,1,0.42,0.0,1
46,0.05933,0.060642,1,4.42,4.51,1
47,0.05933,0.060703,1,1.41,1.44,1
48,0.05933,0.0,1,1.47,0.0,1
49,0.05933,0.060703,1,0.09,0.09,1
50,0.05933,0.0,1,3.07,0.0,1
51,0.0593305,0.0,2,0.9,0.0,2
52,0.05933,0.0,1,0.89,0.0,1
53,0.05933,0.0,1,2.94,0.0,1
54,0.05933,0.0,1,2.07,0.0,1
55,0.05933,0.060642,3,0.91,0.9400000000000001,3
56,0.05933,0.0,1,1.59,0.0,1
57,0.059328,0.060705,1,0.0,0.01,1
58,0.05933,0.060703,1,0.67,0.69,1
59,0.05933,0.060642,3,0.6100000000000001,0.62,3
60,0.05933,0.060642,1,0.53,0.55,1
61,0.05933,0.060642,2,0.44000000000000006,0.44000000000000006,2
62,0.05933,0.060642,1,0.28,0.28,1
63,0.059332,0.0,1,0.01,0.0,1
64,0.05933,0.0,1,0.48,0.0,1
65,0.05933,0.063045,1,0.26,0.28,1
66,0.05933,0.060703,1,1.32,1.35,1
67,0.05933,0.0,1,1.95,0.0,1
68,0.05933,0.060642,1,0.43,0.44,1
69,0.05933,0.060703,1,1.68,1.71,1
70,0.05933,0.060703,1,0.01,0.01,1
71,0.059331,0.060642,1,0.06,0.06,1
72,0.05933,0.060703,1,1.84,1.88,1
73,0.05933,0.058823,1,2.37,2.35,1
74,0.05933,0.063045,1,2.05,2.18,1
75,0.05933,0.079688,1,1.96,2.64,1
76,0.05933,0.060703,1,1.23,1.26,1
77,0.05933,0.060703,1,1.23,1.26,1
78,0.059331,0.060704,1,0.04,0.05,1
79,0.0593305,0.060703,2,0.47000000000000003,0.48,2
80,0.05933,0.060703,1,0.46,0.47,1
81,0.05933,0.0,1,0.25,0.0,1
82,0.05933,0.0,1,5.83,0.0,1
83,0.05933,0.063045,1,4.05,4.31,1
84,0.05933,0.079688,1,3.14,4.22,1
85,0.05933,0.0,1,1.74,0.0,1
86,0.05933,0.0,1,1.38,0.0,1
87,0.05933,0.060703,1,0.69,0.7,1
88,0.05933,0.079706,1,3.5,4.7,1
89,0.05933,0.079706,1,5.98,8.03,1
90,0.05933,0.0,1,1.44,0.0,1
91,0.05933,0.079688,1,1.07,1.43,1
92,0.059325,0.060708,1,0.0,0.0,1
93,0.05933,0.079706,1,1.5,2.01,1
94,0.05933,0.060703,1,1.16,1.19,1
95,0.05933,0.0,1,0.61,0.0,1
96,0.0593305,0.0,2,1.35,0.0,2
97,0.05933,0.060703,1,9.84,10.07,1
98,0.05933,0.079706,1,2.77,3.72,1
99,0.05933,0.0,1,1.32,0.0,1
100,0.05933,0.0,2,1.23,0.0,2
101,0.0593305,0.0,2,2.04,0.0,2
102,0.05933,0.060703,1,0.6,0.61,1
103,0.05933,0.0,1,2.02,0.0,1
104,0.05933,0.0,1,1.09,0.0,1
105,0.05933,0.060703,1,4.45,4.55,1
106,0.05933,0.060703,1,2.39,2.45,1
107,0.0593305,0.079689,2,7.39,9.93,2
108,0.05933,0.079688,1,7.38,9.91,1
109,0.05933,0.077228,1,2.07,2.69,1
110,0.05933,0.0,1,4.53,0.0,1
111,0.0593295,0.0,2,0.47000000000000003,0.0,2
112,0.05933,0.0,1,0.46,0.0,1
113,0.05933,0.0,1,0.55,0.0,1
114,0.05933,0.0607035,2,1.81,1.8599999999999999,2
115,0.05934,0.063045,1,0.0,0.0,1
116,0.05933,0.060703,1,1.61,1.65,1
117,0.05933,0.060703,1,1.56,1.6,1
118,0.059332,0.060701,1,0.01,0.01,1
119,0.05933,0.060703,1,1.89,1.93,1
120,0.05933,0.079688,3,1.83,2.46,3
121,0.05933,0.0,3,0.06,0.0,3
122,0.0593295,0.0,2,0.05,0.0,2
123,0.05933,0.079688,2,1.77,2.38,2
124,0.05933,0.0,1,0.02,0.0,1
125,0.05933,0.0,1,0.45,0.0,1
126,0.05933,0.060703,1,1.8,1.84,1
127,0.05933,0.079688,1,1.48,1.99,1
128,0.05933,0.060703,1,1.38,1.41,1
129,0.0593315,0.077228,2,0.05,0.08,2
130,0.059331,0.077228,1,0.04,0.06,1
131,0.05933,0.0,1,1.32,0.0,1
132,0.05933,0.079688,1,0.48,0.64,1
133,0.05933,0.0,1,3.18,0.0,1
134,0.05933,0.063045,1,0.17,0.18,1
135,0.05933,0.060703,1,2.95,3.01,1
136,0.05933,0.0,1,0.92,0.0,1
137,0.05933,0.0,1,0.72,0.0,1
138,0.05933,0.0607035,2,2.21,2.2600000000000002,2
139,0.05933,0.060704,1,0.66,0.68,1
140,0.05933,0.077228,2,0.3,0.39,2
141,0.05933,0.077228,1,1.75,2.28,1
142,0.05933,0.060703,1,2.19,2.24,1
143,0.05933,0.060703,1,1.53,1.56,1
144,0.05933,0.060703,1,1.22,1.25,1
145,0.05933,0.060642,1,1.06,1.08,1
146,0.05933,0.077228,2,1.85,2.4099999999999997,2
147,0.05933,0.063045,1,1.71,1.82,1
148,0.05933,0.077228,1,1.75,2.28,1
149,0.0593305,0.0,2,2.34,0.0,2
150,0.05933,0.0,1,2.48,0.0,1
151,0.05933,0.0,1,0.79,0.0,1
152,0.05933,0.0,1,2.31,0.0,1
153,0.05933,0.060703,1,1.43,1.46,1
154,0.05933,0.079706,1,0.9,1.21,1
155,0.0593305,0.0,4,1.12,0.0,4
156,0.029665,0.0,1,0.9,0.0,2
157,0.05933033333333333,0.0,3,1.09,0.0,3
158,0.05933,0.0,1,0.9,0.0,1
159,0.05933,0.0,2,1.06,0.0,2
160,0.05933,0.0,1,1.01,0.0,1
161,0.059331,0.060702,1,0.01,0.01,1
162,0.05933,0.077228,2,0.37,0.48000000000000004,2
163,0.059331,0.0,1,0.06,0.0,1
164,0.05933,0.060703,1,3.3,3.37,1
165,0.05933,0.077228,1,0.11,0.14,1
166,0.05933,0.060642,2,1.53,1.5699999999999998,2
167,0.05933,0.0,1,0.05,0.0,1
168,0.05933,0.060642,1,1.36,1.39,1
169,0.05933,0.0,2,1.22,0.0,2
170,0.05933,0.0,1,1.27,0.0,1
171,0.05933,0.0,1,1.24,0.0,1
172,0.05933,0.0,1,0.73,0.0,1
173,0.05933,0.079688,1,0.96,1.29,1
174,0.05933,0.0,2,1.1,0.0,2
175,0.05933,0.0,1,1.09,0.0,1
176,0.05933,0.0,1,0.4,0.0,1
177,0.05933,0.060703,1,3.32,3.4,1
178,0.05933,0.060703,1,4.82,4.93,1
179,0.0,0.021273166666666666,6,0.0,20.5,6
180,0.0,0.0212732,5,0.0,20.470000000000002,5
181,0.0,0.02127325,4,0.0,15.36,4
182,0.0,0.0212736,5,0.0,15.370000000000001,5
183,0.0,0.02127375,4,0.0,10.260000000000002,4
184,0.0,0.021273666666666666,3,0.0,10.23,3
185,0.0,0.021274,2,0.0,5.12,2
186,0.0,0.021273,1,0.0,5.11,1
187,0.0,0.0212738,20,0.0,51.26,20
188,0.0,0.02127378947368421,19,0.0,51.23,19
189,0.0,0.021273777777777777,18,0.0,51.2,18
190,0.0,0.021273529411764705,17,0.0,51.2,17
191,0.0,0.02127325,16,0.0,51.2,16
192,0.0,0.02127326666666667,15,0.0,46.09,15
193,0.0,0.021273285714285713,14,0.0,40.980000000000004,14
194,0.0,0.021273307692307692,13,0.0,35.87,13
195,0.0,0.021273333333333335,12,0.0,30.759999999999998,12
196,0.0,0.021273272727272727,11,0.0,30.74,11
197,0.0,0.0212732,10,0.0,30.72,10
198,0.0,0.02127322222222222,9,0.0,25.61,9
199,0.0,0.02127325,8,0.0,20.5,8
200,0.0,0.02127314285714286,7,0.0,20.5,7
201,0.0,0.021273,6,0.0,20.5,6
202,0.0,0.021273,5,0.0,20.47,5
203,0.0,0.021273,4,0.0,20.44,4
204,0.0,0.021273,3,0.0,15.330000000000002,3
205,0.0,0.021273,2,0.0,10.22,2
206,0.0,0.021273,1,0.0,5.11,1
207,0.0,0.021273,3,0.0,15.330000000000002,3
208,0.0,0.021273,3,0.0,15.330000000000002,3
209,0.0,0.021273,2,0.0,10.22,2
210,0.0,0.021273,1,0.0,5.11,1
211,0.0,0.021273,1,0.0,5.11,1
212,0.0,0.20414873,49,0.0,116.13000000000008,100
213,0.0,0.1999824,48,0.0,116.07000000000009,100
214,0.0,0.1999824,48,0.0,116.07000000000009,100
215,0.0,0.2041487,49,0.0,118.1600000000001,100
216,0.0,0.2041487,49,0.0,118.1600000000001,100
217,0.0,0.1999824,48,0.0,117.90000000000009,100
218,0.0,0.1999824,48,0.0,113.15000000000009,100
219,0.0,0.1958161,47,0.0,110.4200000000001,100
220,0.0,0.1916498,46,0.0,107.1400000000001,100
221,0.0,0.1916498,46,0.0,107.1400000000001,100
222,0.0,0.1916498,46,0.0,102.45000000000012,100
223,0.0,0.1916498,46,0.0,102.45000000000012,100
224,0.0,0.1874835,45,0.0,97.60000000000011,100
225,0.0,0.1874835,45,0.0,97.60000000000011,100
226,0.0,0.1874835,45,0.0,97.60000000000011,100
227,0.0,0.1874835,45,0.0,97.60000000000011,100
228,0.0,0.1916498,46,0.0,99.69000000000011,100
229,0.0,0.1916498,46,0.0,99.69000000000011,100
230,0.0,0.1916498,46,0.0,96.85000000000011,100
231,0.0,0.1916498,46,0.0,94.3800000000001,100
232,0.0,0.1874835,45,0.0,89.80000000000008,100
233,0.0,0.1916498,46,0.0,91.89000000000009,100
234,0.0,0.1874835,45,0.0,89.53000000000009,100
235,0.0,0.1916498,46,0.0,91.62000000000009,100
236,0.0,0.1916498,46,0.0,90.00000000000009,100
237,0.0,0.1916498,46,0.0,88.38000000000008,100
238,0.0,0.1874835,45,0.0,84.70000000000007,100
239,0.0,0.1916498,46,0.0,86.79000000000008,100
240,0.0,0.1874835,45,0.0,86.37000000000008,100
241,0.0,0.1874835,45,0.0,86.37000000000008,100
242,0.0,0.1874835,45,0.0,86.37000000000008,100
243,0.0,0.1916498,46,0.0,88.46000000000008,100
244,0.0,0.1958161,47,0.0,90.55000000000008,100
245,0.0,0.1916498,46,0.0,88.46000000000008,100
246,0.0,0.1874835,45,0.0,86.37000000000008,100
247,0.0,0.18748351,45,0.0,84.43000000000008,100
248,0.0,0.19164981,46,0.0,86.53000000000007,100
249,0.0,0.19164981,46,0.0,86.53000000000007,100
250,0.0,0.18748351,45,0.0,84.44000000000007,100
251,0.0,0.18748351,45,0.0,84.44000000000007,100
252,0.0,0.18331721,44,0.0,82.35000000000008,100
253,0.0,0.17915091,43,0.0,80.26000000000006,100
254,0.0,0.17498461,42,0.0,78.17000000000006,100
255,0.0,0.17498461,42,0.0,78.17000000000006,100
256,0.0,0.17915091,43,0.0,80.26000000000006,100
257,0.0,0.17915091,43,0.0,78.59000000000006,100
258,0.0,0.17915091,43,0.0,78.59000000000006,100
259,0.0,0.17498461,42,0.0,76.50000000000006,100
260,0.0,0.17915091,43,0.0,78.59000000000006,100
261,0.0,0.17915091,43,0.0,78.59000000000006,100
262,0.0,0.17915091,43,0.0,78.59000000000006,100
263,0.0,0.17498461,42,0.0,76.50000000000006,100
264,0.0,0.17498461,42,0.0,76.50000000000006,100
265,0.0,0.17915091,43,0.0,78.59000000000006,100
266,0.0,0.17915091,43,0.0,78.59000000000006,100
267,0.0,0.18331721,44,0.0,80.68000000000006,100
268,0.0,0.17915091,43,0.0,78.58000000000007,100
269,0.0,0.17498461,42,0.0,76.48000000000006,100
270,0.0,0.17915091,43,0.0,78.57000000000006,100
271,0.0,0.17915091,43,0.0,78.57000000000006,100
272,0.0,0.17498461,42,0.0,76.48000000000006,100
273,0.0,0.17915091,43,0.0,78.57000000000006,100
274,0.0,0.17498461,42,0.0,76.48000000000006,100
275,0.0,0.17915091,43,0.0,78.57000000000006,100
276,0.0,0.17915091,43,0.0,78.57000000000006,100
277,0.0,0.17915091,43,0.0,78.57000000000006,100
278,0.0,0.17915091,43,0.0,78.57000000000006,100
279,0.0,0.17498461,42,0.0,77.15000000000006,100
280,0.0,0.17498461,42,0.0,77.15000000000008,100
281,0.0,0.17915091,43,0.0,78.82000000000008,100
282,0.0,0.17498461,42,0.0,76.73000000000006,100
283,0.0,0.17915091,43,0.0,78.82000000000006,100
284,0.0,0.18331721,44,0.0,80.91000000000007,100
285,0.0,0.18331721,44,0.0,80.91000000000007,100
286,0.0,0.18331721,44,0.0,80.91000000000007,100
287,0.0,0.18748351,45,0.0,83.00000000000007,100
288,0.0,0.19164981,46,0.0,83.42000000000007,100
289,0.0,0.19581611,47,0.0,85.51000000000008,100
290,0.0,0.19998241,48,0.0,87.60000000000008,100
291,0.0,0.19998241,48,0.0,87.60000000000008,100
292,0.0,0.20414871,49,0.0,89.69000000000008,100
293,0.0,0.20414871,49,0.0,89.69000000000008,100
294,0.0,0.19998241,48,0.0,87.60000000000008,100
295,0.0,0.20414871,49,0.0,89.69000000000008,100
296,0.0,0.20414871,49,0.0,89.69000000000008,100
297,0.0,0.20414871,49,0.0,89.69000000000008,100
298,0.0,0.20414871,49,0.0,89.69000000000008,100
299,0.0,0.19998241,48,0.0,89.27000000000008,100
300,0.0,0.19581611,47,0.0,87.18000000000008,100
301,0.0,0.19581611,47,0.0,87.18000000000008,100
302,0.0,0.19581611,47,0.0,88.8500000000001,100
303,0.0,0.19998241,48,0.0,90.9400000000001,100
304,0.0,0.19998241,48,0.0,90.9400000000001,100
305,0.0,0.20414871,49,0.0,93.04000000000009,100
306,0.0,0.20414871,49,0.0,94.7100000000001,100
307,0.0,0.20414871,49,0.0,94.7100000000001,100
308,0.0,0.19998241,48,0.0,94.29000000000009,100
309,0.0,0.20414871,49,0.0,96.3800000000001,100
310,0.0,0.20831501,50,0.0,98.4700000000001,100
311,0.0,0.20831501,50,0.0,98.4700000000001,100
312,0.0,0.21248131,51,0.0,100.5500000000001,100
313,0.0,0.21248131,51,0.0,100.5500000000001,100
314,0.0,0.2166476,52,0.0,100.7000000000001,100
315,0.0,0.2166476,52,0.0,100.7000000000001,100
316,0.0,0.2166476,52,0.0,100.7000000000001,100
317,0.0,0.2208139,53,0.0,102.7800000000001,100
318,0.0,0.2208139,53,0.0,102.7800000000001,100
319,0.0,0.2208139,53,0.0,102.7800000000001,100
320,0.0,0.2208139,53,0.0,102.7800000000001,100
321,0.0,0.2249802,54,0.0,104.8700000000001,100
322,0.0,0.2249802,54,0.0,104.8700000000001,100
323,0.0,0.2291465,55,0.0,106.96000000000011,100
324,0.0,0.2291465,55,0.0,106.96000000000011,100
325,0.0,0.2333128,56,0.0,109.05000000000011,100
326,0.0,0.2333128,56,0.0,109.05000000000011,100
327,0.0,0.2333128,56,0.0,109.05000000000011,100
328,0.0,0.2333128,56,0.0,109.0600000000001,100
329,0.0,0.2333128,56,0.0,109.0600000000001,100
330,0.0,0.2333128,56,0.0,109.4200000000001,100
331,0.0,0.2333128,56,0.0,109.4100000000001,100
332,0.0,0.2333128,56,0.0,109.4100000000001,100
333,0.0,0.2333128,56,0.0,109.4100000000001,100
334,0.0,0.2333128,56,0.0,109.4100000000001,100
335,0.0,0.2333128,56,0.0,108.6100000000001,100
336,0.0,0.2291465,55,0.0,106.5200000000001,100
337,0.0,0.2249802,54,0.0,104.43000000000009,100
338,0.0,0.2291465,55,0.0,106.5200000000001,100
339,0.0,0.2249802,54,0.0,104.43000000000009,100
340,0.0,0.2249802,54,0.0,104.43000000000009,100
341,0.0,0.2291465,55,0.0,106.5200000000001,100
342,0.0,0.2291465,55,0.0,106.5200000000001,100
343,0.0,0.2249802,54,0.0,104.43000000000009,100
344,0.0,0.2249802,54,0.0,104.44000000000008,100
345,0.0,0.2249802,54,0.0,104.44000000000008,100
346,0.0,0.2249802,54,0.0,104.44000000000008,100
347,0.0,0.22081389,53,0.0,104.29000000000009,100
348,0.0,0.22081389,53,0.0,103.93000000000008,100
349,0.0,0.22081389,53,0.0,103.93000000000008,100
350,0.0,0.22081389,53,0.0,103.93000000000008,100
351,0.0,0.22498019,54,0.0,106.02000000000008,100
352,0.0,0.22498019,54,0.0,106.02000000000008,100
353,0.0,0.22498019,54,0.0,106.02000000000008,100
354,0.0,0.22914649,55,0.0,108.11000000000008,100
355,0.0,0.22498019,54,0.0,106.02000000000008,100
356,0.0,0.22498019,54,0.0,106.02000000000008,100
357,0.0,0.22081389,53,0.0,105.60000000000008,100
358,0.0,0.22081389,53,0.0,105.60000000000008,100
359,0.0,0.22081389,53,0.0,105.60000000000008,100
360,0.0,0.22081389,53,0.0,103.93000000000008,100
361,0.0,0.21664759,52,0.0,101.84000000000006,100
362,0.0,0.21664759,52,0.0,101.84000000000006,100
363,0.0,0.21664759,52,0.0,101.84000000000006,100
364,0.0,0.21664759,52,0.0,101.84000000000006,100
365,0.0,0.21248129,51,0.0,99.75000000000006,100
366,0.0,0.21664759,52,0.0,101.84000000000006,100
367,0.0,0.21248129,51,0.0,99.75000000000006,100
368,0.0,0.21664759,52,0.0,101.84000000000006,100
369,0.0,0.21664759,52,0.0,101.84000000000006,100
370,0.0,0.2166476,52,0.0,99.84000000000006,100
371,0.0,0.2166476,52,0.0,99.84000000000006,100
372,0.0,0.2208139,53,0.0,101.93000000000006,100
373,0.0,0.2208139,53,0.0,100.26000000000006,100
374,0.0,0.2249802,54,0.0,102.35000000000007,100
375,0.0,0.2208139,53,0.0,100.26000000000006,100
376,0.0,0.2166476,52,0.0,98.17000000000006,100
377,0.0,0.2208139,53,0.0,100.26000000000006,100
378,0.0,0.2166476,52,0.0,98.17000000000006,100
379,0.0,0.2166476,52,0.0,98.17000000000006,100
380,0.0,0.2166476,52,0.0,98.17000000000006,100
381,0.0,0.2166476,52,0.0,98.23000000000008,100
382,0.0,0.2166476,52,0.0,98.23000000000008,100
383,0.0,0.2166476,52,0.0,98.23000000000008,100
384,0.0,0.2166476,52,0.0,96.56000000000006,100
385,0.0,0.2166476,52,0.0,96.56000000000006,100
386,0.0,0.2166476,52,0.0,96.56000000000006,100
387,0.0,0.2124813,51,0.0,94.47000000000006,100
388,0.0,0.2124813,51,0.0,96.14000000000006,100
389,0.0,0.2124813,51,0.0,96.14000000000009,100
390,0.0,0.2124813,51,0.0,96.14000000000009,100
391,0.0,0.208315,50,0.0,94.05000000000008,100
392,0.0,0.208315,50,0.0,94.05000000000008,100
393,0.0,0.208315,50,0.0,94.05000000000008,100
394,0.0,0.208315,50,0.0,94.05000000000008,100
395,0.0,0.208315,50,0.0,94.05000000000008,100
396,0.0,0.208315,50,0.0,94.05000000000008,100
397,0.0,0.208315,50,0.0,94.05000000000008,100
398,0.0,0.208315,50,0.0,94.05000000000008,100
399,0.0,0.2124813,51,0.0,96.14000000000009,100
400,0.0,0.2124813,51,0.0,96.14000000000009,100
401,0.0,0.2166476,52,0.0,98.23000000000009,100
402,0.0,0.2124813,51,0.0,96.14000000000009,100
403,0.0,0.208315,50,0.0,94.0500000000001,100
404,0.0,0.2124813,51,0.0,96.1400000000001,100
405,0.0,0.208315,50,0.0,94.04000000000009,100
406,0.0,0.2041487,49,0.0,91.9500000000001,100
407,0.0,0.2041487,49,0.0,91.95000000000009,100
408,0.0,0.208315,50,0.0,94.04000000000009,100
409,0.0,0.208315,50,0.0,94.04000000000009,100
410,0.0,0.208315,50,0.0,94.04000000000009,100
411,0.0,0.208315,50,0.0,94.04000000000009,100
412,0.0,0.208315,50,0.0,94.0500000000001,100
413,0.0,0.2124813,51,0.0,96.1400000000001,100
414,0.0,0.20831501,50,0.0,95.9900000000001,100
415,0.0,0.20831501,50,0.0,95.9900000000001,100
416,0.0,0.20831501,50,0.0,95.9900000000001,100
417,0.0,0.20831501,50,0.0,96.00000000000009,100
418,0.0,0.20414871,49,0.0,93.91000000000008,100
419,0.0,0.20831501,50,0.0,96.00000000000009,100
420,0.0,0.20831501,50,0.0,96.00000000000009,100
421,0.0,0.20831501,50,0.0,96.01000000000009,100
422,0.0,0.20414871,49,0.0,93.92000000000009,100
423,0.0,0.20414871,49,0.0,92.25000000000009,100
424,0.0,0.20831501,50,0.0,94.34000000000009,100
425,0.0,0.20414871,49,0.0,92.25000000000007,100
426,0.0,0.20831501,50,0.0,94.35000000000007,100
427,0.0,0.21248131,51,0.0,96.45000000000006,100
428,0.0,0.21248131,51,0.0,96.45000000000006,100
429,0.0,0.21664761,52,0.0,98.54000000000006,100
430,0.0,0.21664761,52,0.0,98.54000000000006,100
431,0.0,0.21248131,51,0.0,96.45000000000006,100
432,0.0,0.21248131,51,0.0,96.45000000000006,100
433,0.0,0.21248131,51,0.0,96.45000000000006,100
434,0.0,0.21664761,52,0.0,98.54000000000006,100
435,0.0,0.21248131,51,0.0,97.25000000000007,100
436,0.0,0.21664761,52,0.0,99.34000000000007,100
437,0.0,0.22081391,53,0.0,101.43000000000008,100
438,0.0,0.21664761,52,0.0,99.34000000000007,100
439,0.0,0.22081391,53,0.0,101.43000000000008,100
440,0.0,0.22081391,53,0.0,101.43000000000008,100
441,0.0,0.22081391,53,0.0,101.43000000000008,100
442,0.0,0.22498021,54,0.0,103.52000000000008,100
443,0.0,0.22498021,54,0.0,103.52000000000008,100
444,0.0,0.22498021,54,0.0,103.51000000000008,100
445,0.0,0.22498021,54,0.0,103.51000000000008,100
446,0.0,0.22914651,55,0.0,105.60000000000008,100
447,0.0,0.23331281,56,0.0,107.69000000000008,100
448,0.0,0.22914651,55,0.0,105.95000000000009,100
449,0.0,0.23331281,56,0.0,106.37000000000009,100
450,0.0,0.23747911,57,0.0,108.4600000000001,100
451,0.0,0.23331281,56,0.0,106.37000000000009,100
452,0.0,0.23331281,56,0.0,106.37000000000009,100
453,0.0,0.23747911,57,0.0,108.4600000000001,100
454,0.0,0.23331281,56,0.0,106.37000000000009,100
455,0.0,0.23331281,56,0.0,106.37000000000009,100
456,0.0,0.23331281,56,0.0,106.37000000000009,100
457,0.0,0.23331281,56,0.0,106.37000000000009,100
458,0.0,0.23747911,57,0.0,108.4600000000001,100
459,0.0,0.23747911,57,0.0,108.4600000000001,100
460,0.0,0.23331281,56,0.0,108.04000000000008,100
461,0.0,0.23331281,56,0.0,108.04000000000008,100
462,0.0,0.23331281,56,0.0,108.04000000000008,100
463,0.0,0.23331281,56,0.0,108.04000000000008,100
464,0.0,0.22914651,55,0.0,105.95000000000007,100
465,0.0,0.23331281,56,0.0,108.04000000000008,100
466,0.0,0.23331281,56,0.0,108.04000000000008,100
467,0.0,0.23747911,57,0.0,110.13000000000008,100
468,0.0,0.23747911,57,0.0,110.1300000000001,100
469,0.0,0.24164541,58,0.0,112.2200000000001,100
470,0.0,0.2374791,57,0.0,112.13000000000011,100
471,0.0,0.2374791,57,0.0,112.13000000000011,100
472,0.0,0.2374791,57,0.0,112.13000000000011,100
473,0.0,0.2374791,57,0.0,112.13000000000011,100
474,0.0,0.2333128,56,0.0,110.0400000000001,100
475,0.0,0.2374791,57,0.0,112.13000000000011,100
476,0.0,0.2374791,57,0.0,112.13000000000011,100
477,0.0,0.2374791,57,0.0,112.1400000000001,100
478,0.0,0.2416454,58,0.0,112.5600000000001,100
479,0.0,0.2416454,58,0.0,112.5600000000001,100
480,0.0,0.2374791,57,0.0,110.4700000000001,100
481,0.0,0.2333128,56,0.0,108.7400000000001,100
482,0.0,0.2333128,56,0.0,108.7400000000001,100
483,0.0,0.2333128,56,0.0,108.75000000000009,100
484,0.0,0.2333128,56,0.0,108.75000000000009,100
485,0.0,0.2374791,57,0.0,110.84000000000009,100
486,0.0,0.2333128,56,0.0,108.75000000000009,100
487,0.0,0.2333128,56,0.0,108.75000000000009,100
488,0.0,0.2291465,55,0.0,106.66000000000008,100
489,0.0,0.2291465,55,0.0,106.68000000000008,100
490,0.0,0.2249802,54,0.0,104.59000000000007,100
491,0.0,0.2249802,54,0.0,104.59000000000007,100
492,0.0,0.2208139,53,0.0,102.50000000000007,100
493,0.0,0.2166476,52,0.0,100.41000000000007,100
494,0.0,0.2208139,53,0.0,100.83000000000007,100
495,0.0,0.2208139,53,0.0,100.84000000000007,100
496,0.0,0.2208139,53,0.0,100.84000000000007,100
497,0.0,0.2249802,54,0.0,102.93000000000008,100
498,0.0,0.2208139,53,0.0,100.84000000000007,100
499,0.0,0.2208139,53,0.0,99.17000000000009,100
500,0.0,0.2249802,54,0.0,99.59000000000009,100
501,0.0,0.2249802,54,0.0,99.59000000000009,100
502,0.0,0.2249802,54,0.0,99.59000000000009,100
503,0.0,0.2249802,54,0.0,99.59000000000009,100
504,0.0,0.2249802,54,0.0,99.59000000000009,100
505,0.0,0.2249802,54,0.0,99.59000000000009,100
506,0.0,0.2291465,55,0.0,101.68000000000009,100
507,0.0,0.2291465,55,0.0,101.68000000000009,100
508,0.0,0.2291465,55,0.0,101.68000000000009,100
509,0.0,0.2249802,54,0.0,99.59000000000009,100
510,0.0,0.2249802,54,0.0,99.59000000000009,100
511,0.0,0.2291465,55,0.0,101.68000000000009,100
512,0.0,0.2291465,55,0.0,101.68000000000008,100
513,0.0,0.2291465,55,0.0,101.68000000000008,100
514,0.0,0.2333128,56,0.0,103.77000000000008,100
515,0.0,0.2291465,55,0.0,101.68000000000008,100
516,0.0,0.2291465,55,0.0,101.68000000000008,100
517,0.0,0.2249802,54,0.0,99.59000000000007,100
518,0.0,0.2291465,55,0.0,101.68000000000008,100
519,0.0,0.2291465,55,0.0,101.68000000000009,100
520,0.0,0.2291465,55,0.0,101.68000000000009,100
521,0.0,0.2249802,54,0.0,99.5800000000001,100
522,0.0,0.2291465,55,0.0,101.6700000000001,100
523,0.0,0.2291465,55,0.0,103.3400000000001,100
524,0.0,0.2249802,54,0.0,101.2500000000001,100
